Designator,Mid X,Mid Y,Rotation,Layer
C1,212.46,-87.9775,180.0,top
C10,209.17,-108.3375,90.0,top
C11,218.81,-110.5675,90.0,top
C12,198.91,-105.8125,90.0,top
C2,207.6,-87.2275,180.0,top
C3,218.94,-86.1475,90.0,top
C4,206.66,-114.7175,90.0,top
C5,211.07,-114.7075,-90.0,top
C6,200.38,-114.7175,90.0,top
C7,208.99,-70.8175,180.0,top
C8,211.29,-110.7175,90.0,top
C9,198.9,-109.8525,-90.0,top
D1,211.888048,-99.4375,90.0,top
D2,213.6,-114.7775,-90.0,top
D3,218.971953,-99.4375,90.0,top
D4,216.66,-114.5175,0.0,top
D5,217.200976,-99.4375,90.0,top
D6,213.659024,-99.4375,90.0,top
D7,215.43,-99.4375,90.0,top
FB1,208.88,-114.7275,-90.0,top
J1,189.734286,-108.5125,180.0,top
J2,224.734286,-90.7625,0.0,top
J3,207.27,-124.3125,0.0,top
J4,207.71,-61.2375,0.0,top
J5,197.61,-82.4875,90.0,top
L1,214.97,-107.0375,0.0,top
Q1,214.01,-76.3575,-90.0,top
Q2,205.12,-76.6675,180.0,top
R1,219.88,-83.0175,180.0,top
R10,220.2,-94.8475,-90.0,top
R11,218.04,-94.8375,-90.0,top
R12,213.7,-94.8275,-90.0,top
R13,215.86,-94.8175,-90.0,top
R2,211.45,-94.8175,-90.0,top
R3,214.06,-70.8075,180.0,top
R4,207.69,-81.7775,180.0,top
R5,203.478095,-81.7875,180.0,top
R6,204.56,-114.7175,90.0,top
R7,218.81,-73.8775,-90.0,top
R8,218.81,-77.7975,-90.0,top
R9,202.5,-114.7175,90.0,top
U1,214.0,-83.9975,180.0,top
U2,202.69,-93.9675,-90.0,top
U3,214.97,-110.2775,0.0,top
U4,203.89,-107.9475,0.0,top
